Region,Nitrogen_N_mg/kg,Phosphorus_P_mg/kg,Potassium_K_mg/kg,Temperature_C,Humidity_%,Rainfall_mm,Soil_Moisture_%,LDR,Irrigation_Need
Punjab,750.9651581,28.19315357,191.9914312,24.48,53.64,3.09,27.84436048,452.35,0.10785662732014745
Punjab,784.3050161,27.76468819,254.7010987,21.31,53.2,16.07,34.51948266,309.73,0.03090889421729866
Punjab,794.9385682,15.75858976,149.4474008,25.24,33.07,4.6,26.83653524,453.07,0.16826159181114142
Punjab,992.6825414,32.69372292,182.7479211,29.62,55.05,23.1,35.16486471,322.42,0.028861866283833006
Punjab,686.4753559,8.605565383,201.9995866,20.83,70.99,40.76,24.45924362,477.59,0.01446205044287166
Punjab,607.5987353,16.76730602,169.1590784,20.83,40.89,19.44,21.44865182,397.52,0.11633966404480404
Punjab,1077.344615,7.483239484,195.1945609,29.9,75.73,13.63,37.62272398,509.42,0.010457132837213197
Punjab,684.0198378,39.66471052,137.5931326,25.84,67.32,1.5,31.10166223,535.63,0.06073988039704477
Punjab,521.9611836,20.15392929,142.6122525,19.65,48.99,5.57,20.60865002,404.28,0.14392988745110136
Punjab,727.5278386,45.69974012,146.7744202,24.71,57.88,24.15,28.58770554,415.14,0.05117329406607637
Punjab,761.6480913,32.36989453,150.1047496,19.68,83.97,60.23,24.15748271,447.54,0.0
Punjab,1355.359398,32.58992546,259.4704911,19.67,71.0,83.95,22.84032172,349.28,0.0
Punjab,945.4960778,20.98965242,220.6288615,23.21,60.13,67.07,26.70317548,531.83,0.0
Punjab,1015.521471,16.83504123,110.1482498,12.43,56.43,9.19,11.25347502,408.25,0.10589108189363394
Punjab,988.6796578,31.86994728,208.8648579,19.81785874,61.15,21.74,13.04491361,341.71,0.09774833910591992
Punjab,990.4962552,26.17248734,156.21243,19.19,52.32,24.94,20.29235466,490.68,0.0753140107184913
Punjab,630.1692146,10.23383575,132.3636484,16.94,28.43,89.81,14.75287574,354.79,0.0
Punjab,774.0295382,9.432795689,83.27570792,23.57,90.63,29.19,30.26326687,335.88,0.007458187029835133
Punjab,580.5757822,13.43016937,233.5264814,17.46,62.33,21.95,18.8729875,440.72,0.0649620264587023
Punjab,811.7357455,42.78902394,107.2748361,14.94,65.97,20.29,15.7072209,467.87,0.06115629248487373
