Region,Nitrogen_N_mg/kg,Phosphorus_P_mg/kg,Potassium_K_mg/kg,Temperature_C,Humidity_%,Rainfall_mm,Soil_Moisture_%,LDR
Punjab,750.9651581,28.19315357,191.9914312,24.48,53.64,3.09,27.84436048,365.1376989
Punjab,784.3050161,27.76468819,254.7010987,21.31,53.2,16.07,34.51948266,405.4746743
Punjab,794.9385682,15.75858976,149.4474008,25.24,33.07,4.6,26.83653524,395.0515342
Punjab,992.6825414,32.69372292,182.7479211,29.62,55.05,23.1,35.16486471,401.8772719
Punjab,686.4753559,8.605565383,201.9995866,20.83,70.99,40.76,24.45924362,310.7135597
Punjab,607.5987353,16.76730602,169.1590784,20.83,40.89,19.44,21.44865182,327.5229532
Punjab,1077.344615,7.483239484,195.1945609,29.9,75.73,13.63,37.62272398,361.2676277
Punjab,684.0198378,39.66471052,137.5931326,25.84,67.32,1.5,31.10166223,324.9769526
Punjab,521.9611836,20.15392929,142.6122525,19.65,48.99,5.57,20.60865002,325.248135
Punjab,727.5278386,45.69974012,146.7744202,24.71,57.88,24.15,28.58770554,351.0837255
Punjab,761.6480913,32.36989453,150.1047496,19.68,83.97,60.23,24.15748271,307.3586019
Punjab,1355.359398,32.58992546,259.4704911,19.67,71,83.95,22.84032172,349.2616962
Punjab,945.4960778,20.98965242,220.6288615,23.21,60.13,67.07,26.70317548,371.9810739
Punjab,1015.521471,16.83504123,110.1482498,12.43,56.43,9.19,11.25347502,283.4719201
Punjab,988.6796578,31.86994728,208.8648579,19.81785874,61.15,21.74,13.04491361,294.8840461
Punjab,990.4962552,26.17248734,156.21243,19.19,52.32,24.94,20.29235466,329.5376535
Punjab,630.1692146,10.23383575,132.3636484,16.94,28.43,89.81,14.75287574,338.670344
Punjab,774.0295382,9.432795689,83.27570792,23.57,90.63,29.19,30.26326687,320.0131073
Punjab,580.5757822,13.43016937,233.5264814,17.46,62.33,21.95,18.8729875,326.8303313
Punjab,811.7357455,42.78902394,107.2748361,14.94,65.97,20.29,15.7072209,305.1325719
Punjab,983.1652439,48.49820998,187.9463896,29.33,59.13,34.25,35.17313838,385.534711
Punjab,845.0429228,27.31916657,124.2449457,29.72216098,48.97,27.78,22.3173248,368.027653
Punjab,1327.605954,29.11296164,227.294714,22.34,57.21,19.15,25.19111328,348.3094143
Punjab,573.6637405,19.35716842,158.2583981,14.88,36.01,33.47,12.63090786,285.0881748
Punjab,923.0131248,16.6604767,167.2575733,19.28,94.16,7.12,24.60562975,316.4825603
Punjab,594.6716089,36.2533944,180.8358953,22.55,41.48,7.08,23.928232,332.3461088
Punjab,826.2049605,43.92835294,207.517882,16.25,44.52,18.79,15.39205057,335.9511309
Punjab,940.4143849,17.55066685,176.3129046,23.88,53.4,34.17,26.96961119,358.0375294
Punjab,705.9613413,23.74099487,176.9858081,19,79.32,21.51,22.73211359,329.3021171
Punjab,907.7359942,21.60225321,146.6506685,20.54,60.22,18.58,22.9817635,323.2234009
Punjab,632.7526955,18.88053533,83.41880463,18.99,41.46,42.46,18.93579631,323.5439544
Punjab,495.6290028,33.53262004,118.8195413,31.26,78.82,114.79,39.85150754,353.8357583
Punjab,926.540952,12.99405924,216.5501923,21.93,70.97,24.97,26.00650094,344.1157392
Punjab,1132.561027,33.14802047,163.9823485,16.71,68.08,157.96,18.40765244,296.1167449
Punjab,541.4853529,30.28791012,143.8011905,26.11,70.74,12.04,31.83360136,340.5591838
Punjab,1029.583547,26.02438836,94.94924413,15.9,95.92,98.31,20.04154285,300.1983755
Punjab,799.5496539,34.01684682,84.46533913,23.04,92.78,16.18,29.73764234,310.6353269
Punjab,523.472131,23.80861696,138.5482592,12.2,49.7,12.73,10.24992699,315.3095272
Punjab,592.2566907,34.9069894,239.3656496,15.36,84.36,5.62,18.13582749,284.0572297
Punjab,862.7302923,9.811569547,138.9689735,22.98,65.75,92.8,26.95475228,342.3418293
Punjab,722.8158761,20.70107542,202.2861237,25.69,67.49,15.5,30.91864372,347.2417721
Punjab,530.9180463,21.65417405,143.4609343,22.86,34.62,38.95,23.66159375,316.0335364
Punjab,453.4133456,1.611921438,204.9689631,21.42,57.44,4.24,23.93442135,308.1578043
Punjab,634.391543,12.44656134,153.4602363,20.49,47.81,17.5,21.67076461,330.5813318
Punjab,813.9111872,17.24761802,102.0220037,14.61,72.42,7.24,15.89208822,283.4362482
Punjab,802.3259568,34.46719849,168.60103,18.4,76.07,9.72,21.56662075,321.0298382
Punjab,713.2743701,16.92752408,286.5057833,19.7,28.88,33.27,18.66827047,314.1120301
Punjab,846.6705819,17.22377439,283.2996051,27.29,59.67,33.28,32.3669477,377.9608804
Punjab,1021.736258,35.25005344,213.2774289,23.72,76.83,17.96,29.09279226,339.7638931
Punjab,891.8424283,9.608253021,163.6904468,13.18,57.2,76.25,12.37998156,285.6325861
Punjab,722.5830995,4.757382657,187.8737797,23.62,70.94,3.18,28.36359547,334.5351201
Punjab,1004.716105,23.23614401,197.2020385,20.07,65.27,4.74,22.8267482,328.0057348
Punjab,587.8995546,8.600299396,170.3714662,18.62,65.12,5.05,20.77249035,295.9278248
Punjab,722.1448251,10.45016092,199.4116035,25.06,55.93,30.92,43.86320587,378.6286807
Punjab,1102.442282,30.32782413,195.357169,27.15,41.75,11.44,30.39512879,418.8747549
Punjab,565.6162483,31.28609348,165.4198692,26.66,43.18,4.14,29.83770478,346.1688346
Punjab,709.3527522,32.05025168,112.2243211,17.8,70.64,30.23,20.19402877,307.0520651
Punjab,334.5509365,31.94008064,157.9438833,20.45,60.29,90.04,22.86918738,292.77533
Punjab,1196.781134,41.2343561,234.1756716,23.66,57.92,2.88,27.11223163,358.51528
Punjab,569.3317561,3.125172423,167.467049,26.88,53.64,34.25,31.19416494,343.3945254
Punjab,1121.414641,32.67222826,200.2720598,19.6,55.42,23.38,21.19221673,357.7161624
Punjab,814.7749678,19.77616901,160.371959,21.07,75.7,31.03,25.27036769,297.1885538
Punjab,939.5373125,18.65972826,112.6828788,16.47,54.97,1.22,16.75713388,332.3017512
Punjab,755.6905436,29.6224004,168.4820732,16.02,39.88,4.34,14.61840293,320.4012391
Punjab,800.6497102,8.115859384,109.9985226,26.06,71.15,29.61,31.80547766,365.5514516
Punjab,928.5257843,8.79097928,106.064457,28.78,56.93,23.48,34.182685,385.3085066
Punjab,924.6199411,32.66910483,255.5078637,21.64,60.47,37.9,24.5470938,342.4241441
Punjab,967.9624906,31.42954678,157.2289301,27.02,84.11,42.79,34.43136746,376.461767
Punjab,732.8000631,25.63333458,136.1936633,23.81,59.69,30.19,27.49915916,348.0502965
Punjab,693.3536127,15.23928066,272.680433,18.77,76.96449904,109.91,20.91377551,327.6458268
Punjab,467.9329343,29.25164735,232.6191482,23.81,42.32,16.67,25.76161476,332.9096143
Punjab,871.1464743,32.84643802,161.1115145,29.69,56.7,10.06,35.44049582,394.3372225
Punjab,1046.115847,28.01475742,206.0865226,21.82,69.14,34.21,25.66428907,320.7783982
Punjab,1136.976125,16.46196336,159.9633948,29.82,36.67,11.6,33.6169394,373.4927876
Punjab,888.5630459,21.36034527,136.3137583,8.9,63.01,8.6,10.30126764,257.4933038
Punjab,637.3881159,31.84704045,212.6691684,26.11,61.51,4.37,30.90118661,321.8089534
Punjab,440.8749359,34.87580771,167.1759561,22.44,60.62,13.99,25.67193118,298.1479632
Punjab,975.980548,23.81333347,182.897317,20.5,75.56,4.6,24.46573835,316.4298712
Punjab,451.5075275,18.90744687,240.0316352,22.46,65.02,16.85,26.14165777,335.4447312
Punjab,700.6862033,22.69879184,233.8615545,12.06,82.17,10.18,13.30710785,291.4811896
Punjab,810.5998921,27.30138634,148.364465,20.9,45.1,105.83,21.96961573,354.8945829
Punjab,746.8807226,19.05108972,206.2546635,23.79,62.04,34.24,27.70388685,356.2292361
Punjab,815.3698036,5.0716052,97.85907471,29.39,61.27,25.76,35.47670018,372.4890165
Punjab,874.6356412,37.20629511,212.983845,19.41,43.96,18.66,19.76611826,326.9943525
Punjab,334.9026928,38.11927348,197.8834447,17.96,74.34,12.45,20.7744425,307.4766161
Punjab,808.2002114,18.90931182,199.6780007,19.49,94.87,39.89,24.97700996,292.3303156
Punjab,325.0254906,9.870848852,156.8167332,26.58,59.74,2.94,31.38449089,335.5493544
Punjab,904.9869243,25.09443615,304.3544974,23.64,67.58,38.06,28.05753163,315.8839232
Punjab,712.0715033,22.00974969,124.9824806,19.35,61.27,56.27,21.41677771,337.719607
Punjab,413.7744172,30.64592655,243.2675929,24.57,49.3,154.06,27.519623,332.6159145
Punjab,623.9945003,23.92159065,118.3731972,22.49,32.69,61.35,22.94885958,318.0140381
Punjab,651.8081548,15.92984932,206.2968858,26.84,49.41,55.17,30.72133978,366.6669642
Punjab,964.3949171,14.20139924,207.9579527,18.49,39.12,12.15,18.00206243,344.2744411
Punjab,809.9070547,34.05327548,187.6281709,20.36,85.56,9.98,25.26615312,320.2363682
Punjab,865.4802947,31.68888989,153.2775562,20.04,58.27,128.8,22.08733546,343.9305701
Punjab,1084.213697,37.97244327,193.7727994,14.68,54.81,19.83,14.24112101,331.3836049
Punjab,800.9640108,15.12771142,191.1790662,23.48,73.34,109.46,28.40373074,333.3470862
Punjab,959.9925621,44.88837592,296.5921845,23.31,43.17,0.41,25.14737335,337.9300479
Punjab,924.7664102,8.927722228,118.9415275,22.03,48.5,23.28,23.88970394,329.348829
Punjab,525.2150285,29.52706101,150.1980051,20.83,61.02,3.28,23.4621084,305.4434544
Punjab,1136.769428,8.845967155,187.5320862,14.92,75.43,20.31,16.63315349,335.5101747
Punjab,521.9621562,14.25939644,160.6883431,19.9,67.53,8.86,22.81252757,333.2841291
Punjab,920.3919792,42.4447333,181.8051147,20.29,63.72,13.08,22.97248771,328.1677198
Punjab,476.3838106,30.27585393,248.3768213,17.99,61.17,102.08,19.4971766,305.8765477
Punjab,894.503519,20.74247358,77.26889792,21.19,84.25718541,8.05,24.47035378,313.5476384
Punjab,1155.99208,23.53382976,141.5258148,24.02,63.02,14.28,28.13247936,336.9442671
Punjab,774.2873198,25.58404269,80.50311055,31.43,44.55,113.95,36.65504159,366.1060024
Punjab,745.5066535,29.62728871,110.820705,22.87,60.69,116.22,26.28911883,305.3967542
Punjab,919.7840378,38.74088,330.5378969,23.29,43.89,8.75,25.18946701,339.169919
Punjab,773.5241948,19.78120709,213.60883,21.63,61.22,9.81,24.60162381,347.7997658
Punjab,1142.766167,12.51655741,229.0310747,12.41,52.79,57.43,10.84902809,311.9740599
Punjab,894.3659858,26.9543845,175.9548431,21.87,98.09,7.75,28.61907243,363.7218553
Punjab,715.8307723,19.78966098,223.2328458,22.3,59.4,79.48,25.36015842,340.0354128
Punjab,694.6159459,10.90942894,73.49683148,34.32,38.94,10.44,40.13364065,397.0686447
Punjab,604.9738921,26.11410306,243.7883446,21.04,57.99,21.24,23.44872968,356.632969
Punjab,678.152574,21.61449003,129.7444312,23.51,67.79,16.54,27.88903812,327.8419929
Punjab,743.2077599,27.36865321,149.652561,21.83,85.1,17.41,27.27004592,302.5734265
Punjab,1042.659753,15.08472185,205.837779,16.16,51.16,4.26,15.9358214,323.1472706
Punjab,645.7664801,28.55364945,201.4235527,27.71,36.26,2.36,30.62635804,372.9960456
Punjab,1186.08256,16.02768246,178.494509,25.76,72.25,26.31,31.48525552,385.6023674
Punjab,669.0751537,14.65980985,94.07134305,25.96,39.29,17.24,28.46910194,334.081763
Punjab,814.8104698,22.86326518,184.7754288,17.45,53.46,32.38,17.97576684,317.0820977
Punjab,939.4763732,43.60504202,246.3390921,29.01,56.14,23.49,34.43356927,364.7725534
Punjab,877.7907607,34.11021599,151.9741268,14.99,58.96,30.65,15.08554982,333.8415011
Punjab,779.8916184,35.65278585,264.2859625,24.93,70.34,21.88,30.14374669,332.0913528
Punjab,748.0440185,38.68859486,134.7253852,32.95,49.75,30.55,51.38670073,410.7045181
Punjab,904.4944521,60.90309498,198.4041607,17.05,55.89,9.9,17.65940612,335.9180407
Punjab,771.6263758,25.9530433,272.3279453,19.17,59.79,19.42,21.01859447,354.1919405
Punjab,753.1942184,38.68208233,146.2220046,22.5,62.24,4.26,25.92439694,336.9433716
Punjab,453.1277563,32.00624286,248.3031763,19.48,61.47,1.4,21.62674076,312.5027531
Punjab,716.1503713,34.02415256,303.4601625,14.25,66.54,14.16,14.80400866,308.2185302
Punjab,539.6001241,40.44689967,199.1311981,22.34,72.66,83.09,26.74575926,349.9048369
Punjab,640.9055191,19.4756809,146.2834348,16.69,65.89,62.68,18.14895117,289.335755
Punjab,798.4311717,20.07644648,131.1465749,24.37,66.8,23.08,29.00037829,311.9616378
Punjab,840.1801159,28.91747229,259.8788276,27.32751146,36.27,52.77,16.18666525,350.6701308
Punjab,1141.823967,26.7309055,255.6865011,29.75,60.75,19.98,35.92534155,421.7547454
Punjab,866.4447997,27.11518724,268.5525043,18.08,67.19,22.35,20.23926132,312.894931
Punjab,899.9348864,42.17925127,185.8437439,20.39,70.93,23.32,23.84341179,310.8530903
Punjab,891.7287116,20.83192005,239.8792664,26.07,49.61,10.19,29.65147384,324.141992
Punjab,1020.318539,24.54199534,175.5466052,15.85,50.11,9.26,15.39144109,316.860122
Punjab,909.8895734,27.89245744,127.891555,23.14,51.39,15.23,25.72884899,350.9281617
Punjab,620.8867324,20.70303715,246.3084079,28.54,68.05,5.42,34.95462085,389.2608656
Punjab,436.9416769,2.413907941,268.4599709,13.96,75.51,19.42,15.30082158,263.9850809
Punjab,837.495023,19.8225234,115.8593618,22.92,53.89,9.43,25.67880984,337.1255296
Punjab,701.0971427,30.813098,121.0668662,23.3,73.62,36.08,28.18194347,339.3177968
Punjab,637.4780147,37.41937251,189.5877338,25.91,61.85,35.05,30.65521971,341.4822206
Punjab,511.400542,10.91484459,231.5969072,15.82,58.14,57.15,16.15357133,305.2630655
Punjab,827.695565,13.731951,106.173588,15.4,56.83,14.89,25.59104499,276.330618
Punjab,1049.565162,28.3154154,193.771169,24.61,71.2,9.66,29.76991705,377.2561294
Punjab,706.4739699,4.182655309,134.1920247,23.48,89.36456475,15.04,27.56836673,298.6914256
Punjab,919.0761405,21.73054062,219.825149,23.25,94.14,45.12,30.16373814,324.1259058
Punjab,753.9112607,7.4354673,123.4497897,23.73,47.22,56.9,26.15166304,349.7692464
Punjab,528.410245,36.11123582,233.1553065,18.6,67.77,19.68,21.01715255,291.6931607
Punjab,904.713197,18.77962269,166.6633442,23.16,52.06,20.92,25.83619849,320.6902529
Punjab,583.3723583,39.34061591,132.0341709,23.47,46.96,15.65,25.74606952,321.6130285
Punjab,836.0008275,36.18325326,189.3876068,18.43,59.84,17.12,19.98369929,308.9718141
Punjab,698.7856839,17.85695917,76.76841351,31.33,62.06,13.62,38.26602872,389.696665
Punjab,959.939847,16.06615487,141.0902018,24.37,100,8.41,32.69726033,337.5643165
Punjab,603.4463874,20.94369802,199.2722713,16.04,57.24,24.48,16.38378128,305.0049579
Punjab,914.5327216,24.73173982,79.47676688,25.28,43.05,57.43,27.90473191,373.5215889
Punjab,587.2443056,26.78040519,81.73073472,17.13,64.1,30.23,18.58951608,310.1374487
Punjab,692.7164579,16.20778958,76.11728355,25.94,28.88,13.56,27.39803994,396.4265015
Punjab,308.4939247,25.18959954,263.3619744,27.79,58.62,34.08,32.97206483,353.3567009
Punjab,1215.358308,31.83419714,176.7166403,17.9,60.24,56.05,19.28403792,354.5466312
