Region,Nitrogen_N_mg/kg,Phosphorus_P_mg/kg,Potassium_K_mg/kg,Temperature_C,Humidity_%,Rainfall_mm,Soil_Moisture_%,LDR
Punjab,750.9651581,28.19315357,191.9914312,24.48,53.64,3.09,27.84436048,361.9570359241783
Punjab,784.3050161,27.76468819,254.7010987,21.31,53.2,16.07,34.51948266,341.5037217912384
Punjab,794.9385682,15.75858976,149.4474008,25.24,33.07,4.6,26.83653524,369.05625213443784
Punjab,992.6825414,32.69372292,182.7479211,29.62,55.05,23.1,35.16486471,364.79908632462974
Punjab,686.4753559,8.605565383,201.9995866,20.83,70.99,40.76,24.45924362,282.62626141000436
Punjab,607.5987353,16.76730602,169.1590784,20.83,40.89,19.44,21.44865182,334.7307004283998
Punjab,1077.344615,7.483239484,195.1945609,29.9,75.73,13.63,37.62272398,361.06494172252076
Punjab,684.0198378,39.66471052,137.5931326,25.84,67.32,1.5,31.10166223,342.18658726864425
Punjab,521.9611836,20.15392929,142.6122525,19.65,48.99,5.57,20.60865002,316.23660719420195
Punjab,727.5278386,45.69974012,146.7744202,24.71,57.88,24.15,28.58770554,352.5245877318381
Punjab,761.6480913,32.36989453,150.1047496,19.68,83.97,60.23,24.15748271,344.12805928010346
Punjab,1355.359398,32.58992546,259.4704911,19.67,71.0,83.95,22.84032172,323.3724212035261
Punjab,945.4960778,20.98965242,220.6288615,23.21,60.13,67.07,26.70317548,324.2704162845072
Punjab,1015.521471,16.83504123,110.1482498,12.43,56.43,9.19,11.25347502,304.0378729512725
Punjab,988.6796578,31.86994728,208.8648579,19.81785874,61.15,21.74,13.04491361,337.8743270367444
Punjab,990.4962552,26.17248734,156.21243,19.19,52.32,24.94,20.29235466,339.3828054114968
Punjab,630.1692146,10.23383575,132.3636484,16.94,28.43,89.81,14.75287574,317.7904532914329
Punjab,774.0295382,9.432795689,83.27570792,23.57,90.63,29.19,30.26326687,349.1693880184811
Punjab,580.5757822,13.43016937,233.5264814,17.46,62.33,21.95,18.8729875,296.50017020036364
Punjab,811.7357455,42.78902394,107.2748361,14.94,65.97,20.29,15.7072209,304.36349356498215
Punjab,983.1652439,48.49820998,187.9463896,29.33,59.13,34.25,35.17313838,366.2847418615273
Punjab,845.0429228,27.31916657,124.2449457,29.72216098,48.97,27.78,22.3173248,348.2345541362786
Punjab,1327.605954,29.11296164,227.294714,22.34,57.21,19.15,25.19111328,351.1602265230654
Punjab,573.6637405,19.35716842,158.2583981,14.88,36.01,33.47,12.63090786,285.54733305789046
Punjab,923.0131248,16.6604767,167.2575733,19.28,94.16,7.12,24.60562975,328.2509834951418
Punjab,594.6716089,36.2533944,180.8358953,22.55,41.48,7.08,23.928232,318.42823956272457
Punjab,826.2049605,43.92835294,207.517882,16.25,44.52,18.79,15.39205057,305.1310652835057
Punjab,940.4143849,17.55066685,176.3129046,23.88,53.4,34.17,26.96961119,342.2690676176277
Punjab,705.9613413,23.74099487,176.9858081,19.0,79.32,21.51,22.73211359,306.9715600231334
Punjab,907.7359942,21.60225321,146.6506685,20.54,60.22,18.58,22.9817635,330.0392172184707
Punjab,632.7526955,18.88053533,83.41880463,18.99,41.46,42.46,18.93579631,320.76147910226973
Punjab,495.6290028,33.53262004,118.8195413,31.26,78.82,114.79,39.85150754,346.6421188832255
Punjab,926.540952,12.99405924,216.5501923,21.93,70.97,24.97,26.00650094,305.80607645408793
Punjab,1132.561027,33.14802047,163.9823485,16.71,68.08,157.96,18.40765244,337.18462295439156
Punjab,541.4853529,30.28791012,143.8011905,26.11,70.74,12.04,31.83360136,356.78374232361244
Punjab,1029.583547,26.02438836,94.94924413,15.9,95.92,98.31,20.04154285,301.1914717143732
Punjab,799.5496539,34.01684682,84.46533913,23.04,92.78,16.18,29.73764234,322.9427719169863
Punjab,523.472131,23.80861696,138.5482592,12.2,49.7,12.73,10.24992699,295.71213123006237
Punjab,592.2566907,34.9069894,239.3656496,15.36,84.36,5.62,18.13582749,286.0671040388568
Punjab,862.7302923,9.811569547,138.9689735,22.98,65.75,92.8,26.95475228,345.8722931322786
Punjab,722.8158761,20.70107542,202.2861237,25.69,67.49,15.5,30.91864372,374.4097192215816
Punjab,530.9180463,21.65417405,143.4609343,22.86,34.62,38.95,23.66159375,358.4254940177795
Punjab,453.4133456,1.611921438,204.9689631,21.42,57.44,4.24,23.93442135,293.11877849294757
Punjab,634.391543,12.44656134,153.4602363,20.49,47.81,17.5,21.67076461,331.6789960878705
Punjab,813.9111872,17.24761802,102.0220037,14.61,72.42,7.24,15.89208822,297.10883516873105
Punjab,802.3259568,34.46719849,168.60103,18.4,76.07,9.72,21.56662075,320.369938941644
Punjab,713.2743701,16.92752408,286.5057833,19.7,28.88,33.27,18.66827047,362.32198265729454
Punjab,846.6705819,17.22377439,283.2996051,27.29,59.67,33.28,32.3669477,374.41362242398736
Punjab,1021.736258,35.25005344,213.2774289,23.72,76.83,17.96,29.09279226,335.58258343206245
Punjab,891.8424283,9.608253021,163.6904468,13.18,57.2,76.25,12.37998156,290.29261983821436
Punjab,722.5830995,4.757382657,187.8737797,23.62,70.94,3.18,28.36359547,320.6176822573656
Punjab,1004.716105,23.23614401,197.2020385,20.07,65.27,4.74,22.8267482,336.2445073304557
Punjab,587.8995546,8.600299396,170.3714662,18.62,65.12,5.05,20.77249035,267.60972180908004
Punjab,722.1448251,10.45016092,199.4116035,25.06,55.93,30.92,43.86320587,366.8493822441043
Punjab,1102.442282,30.32782413,195.357169,27.15,41.75,11.44,30.39512879,368.3372705921217
Punjab,565.6162483,31.28609348,165.4198692,26.66,43.18,4.14,29.83770478,327.50465973017555
Punjab,709.3527522,32.05025168,112.2243211,17.8,70.64,30.23,20.19402877,275.41023307819836
Punjab,334.5509365,31.94008064,157.9438833,20.45,60.29,90.04,22.86918738,319.63112723650397
Punjab,1196.781134,41.2343561,234.1756716,23.66,57.92,2.88,27.11223163,388.8033978438621
Punjab,569.3317561,3.125172423,167.467049,26.88,53.64,34.25,31.19416494,329.7499787250064
Punjab,1121.414641,32.67222826,200.2720598,19.6,55.42,23.38,21.19221673,348.3603741848668
Punjab,814.7749678,19.77616901,160.371959,21.07,75.7,31.03,25.27036769,345.25098204570475
Punjab,939.5373125,18.65972826,112.6828788,16.47,54.97,1.22,16.75713388,329.13474757036397
Punjab,755.6905436,29.6224004,168.4820732,16.02,39.88,4.34,14.61840293,315.26353225464044
Punjab,800.6497102,8.115859384,109.9985226,26.06,71.15,29.61,31.80547766,332.42243464614023
Punjab,928.5257843,8.79097928,106.064457,28.78,56.93,23.48,34.182685,375.14976957673053
Punjab,924.6199411,32.66910483,255.5078637,21.64,60.47,37.9,24.5470938,332.52581946650605
Punjab,967.9624906,31.42954678,157.2289301,27.02,84.11,42.79,34.43136746,355.29974812492196
Punjab,732.8000631,25.63333458,136.1936633,23.81,59.69,30.19,27.49915916,357.0540849840522
Punjab,693.3536127,15.23928066,272.680433,18.77,76.96449904,109.91,20.91377551,307.4409013109171
Punjab,467.9329343,29.25164735,232.6191482,23.81,42.32,16.67,25.76161476,343.04022695927296
Punjab,871.1464743,32.84643802,161.1115145,29.69,56.7,10.06,35.44049582,384.1029621647276
Punjab,1046.115847,28.01475742,206.0865226,21.82,69.14,34.21,25.66428907,350.84625750097166
Punjab,1136.976125,16.46196336,159.9633948,29.82,36.67,11.6,33.6169394,378.658088783052
Punjab,888.5630459,21.36034527,136.3137583,8.9,63.01,8.6,10.30126764,290.6073800694752
Punjab,637.3881159,31.84704045,212.6691684,26.11,61.51,4.37,30.90118661,353.6609159034341
Punjab,440.8749359,34.87580771,167.1759561,22.44,60.62,13.99,25.67193118,326.85626671765965
Punjab,975.980548,23.81333347,182.897317,20.5,75.56,4.6,24.46573835,358.4587413606667
Punjab,451.5075275,18.90744687,240.0316352,22.46,65.02,16.85,26.14165777,322.92151686050016
Punjab,700.6862033,22.69879184,233.8615545,12.06,82.17,10.18,13.30710785,277.10792496120354
Punjab,810.5998921,27.30138634,148.364465,20.9,45.1,105.83,21.96961573,366.63089047750907
Punjab,746.8807226,19.05108972,206.2546635,23.79,62.04,34.24,27.70388685,318.2854751734113
Punjab,815.3698036,5.0716052,97.85907471,29.39,61.27,25.76,35.47670018,377.9145005216444
Punjab,874.6356412,37.20629511,212.983845,19.41,43.96,18.66,19.76611826,312.2085106181864
Punjab,334.9026928,38.11927348,197.8834447,17.96,74.34,12.45,20.7744425,271.33240215944784
Punjab,808.2002114,18.90931182,199.6780007,19.49,94.87,39.89,24.97700996,321.80629823883197
Punjab,325.0254906,9.870848852,156.8167332,26.58,59.74,2.94,31.38449089,345.03022585380694
Punjab,904.9869243,25.09443615,304.3544974,23.64,67.58,38.06,28.05753163,326.0771140396531
Punjab,712.0715033,22.00974969,124.9824806,19.35,61.27,56.27,21.41677771,315.4740049407368
Punjab,413.7744172,30.64592655,243.2675929,24.57,49.3,154.06,27.519623,351.9048442424029
Punjab,623.9945003,23.92159065,118.3731972,22.49,32.69,61.35,22.94885958,329.4326169896842
Punjab,651.8081548,15.92984932,206.2968858,26.84,49.41,55.17,30.72133978,347.5112268118655
Punjab,964.3949171,14.20139924,207.9579527,18.49,39.12,12.15,18.00206243,334.14141558899286
Punjab,809.9070547,34.05327548,187.6281709,20.36,85.56,9.98,25.26615312,315.12317671460215
Punjab,865.4802947,31.68888989,153.2775562,20.04,58.27,128.8,22.08733546,333.5292696365631
Punjab,1084.213697,37.97244327,193.7727994,14.68,54.81,19.83,14.24112101,323.7328420352584
Punjab,800.9640108,15.12771142,191.1790662,23.48,73.34,109.46,28.40373074,288.61344938197203
Punjab,959.9925621,44.88837592,296.5921845,23.31,43.17,0.41,25.14737335,344.3152098009165
Punjab,924.7664102,8.927722228,118.9415275,22.03,48.5,23.28,23.88970394,320.5325330522134
Punjab,525.2150285,29.52706101,150.1980051,20.83,61.02,3.28,23.4621084,339.40442275376824
Punjab,1136.769428,8.845967155,187.5320862,14.92,75.43,20.31,16.63315349,304.9139036233054
Punjab,521.9621562,14.25939644,160.6883431,19.9,67.53,8.86,22.81252757,306.49350652817145
Punjab,920.3919792,42.4447333,181.8051147,20.29,63.72,13.08,22.97248771,321.20600604963073
Punjab,476.3838106,30.27585393,248.3768213,17.99,61.17,102.08,19.4971766,307.939124786941
Punjab,894.503519,20.74247358,77.26889792,21.19,84.25718541,8.05,24.47035378,305.51008726588924
Punjab,1155.99208,23.53382976,141.5258148,24.02,63.02,14.28,28.13247936,366.14395261425403
Punjab,774.2873198,25.58404269,80.50311055,31.43,44.55,113.95,36.65504159,373.7009293405479
Punjab,745.5066535,29.62728871,110.820705,22.87,60.69,116.22,26.28911883,369.64023691295904
Punjab,919.7840378,38.74088,330.5378969,23.29,43.89,8.75,25.18946701,362.0608857711056
Punjab,773.5241948,19.78120709,213.60883,21.63,61.22,9.81,24.60162381,346.0721883910106
Punjab,1142.766167,12.51655741,229.0310747,12.41,52.79,57.43,10.84902809,324.09376655492395
Punjab,894.3659858,26.9543845,175.9548431,21.87,98.09,7.75,28.61907243,304.68200251504794
Punjab,715.8307723,19.78966098,223.2328458,22.3,59.4,79.48,25.36015842,349.72119074656825
Punjab,694.6159459,10.90942894,73.49683148,34.32,38.94,10.44,40.13364065,383.6794622759011
Punjab,604.9738921,26.11410306,243.7883446,21.04,57.99,21.24,23.44872968,279.2378314418322
Punjab,678.152574,21.61449003,129.7444312,23.51,67.79,16.54,27.88903812,303.1839573012726
Punjab,743.2077599,27.36865321,149.652561,21.83,85.1,17.41,27.27004592,301.6936257659438
Punjab,1042.659753,15.08472185,205.837779,16.16,51.16,4.26,15.9358214,306.058063922268
Punjab,645.7664801,28.55364945,201.4235527,27.71,36.26,2.36,30.62635804,374.3695954180446
Punjab,1186.08256,16.02768246,178.494509,25.76,72.25,26.31,31.48525552,343.09171918030233
Punjab,669.0751537,14.65980985,94.07134305,25.96,39.29,17.24,28.46910194,343.19732420604464
Punjab,814.8104698,22.86326518,184.7754288,17.45,53.46,32.38,17.97576684,296.9478991056346
Punjab,939.4763732,43.60504202,246.3390921,29.01,56.14,23.49,34.43356927,384.2056726140115
Punjab,877.7907607,34.11021599,151.9741268,14.99,58.96,30.65,15.08554982,296.5418892740962
Punjab,779.8916184,35.65278585,264.2859625,24.93,70.34,21.88,30.14374669,351.76770467427053
Punjab,748.0440185,38.68859486,134.7253852,32.95,49.75,30.55,51.38670073,380.0677159758947
Punjab,904.4944521,60.90309498,198.4041607,17.05,55.89,9.9,17.65940612,313.2277453706257
Punjab,771.6263758,25.9530433,272.3279453,19.17,59.79,19.42,21.01859447,275.91309480942556
Punjab,753.1942184,38.68208233,146.2220046,22.5,62.24,4.26,25.92439694,344.88050822982694
Punjab,453.1277563,32.00624286,248.3031763,19.48,61.47,1.4,21.62674076,302.13081896917004
Punjab,716.1503713,34.02415256,303.4601625,14.25,66.54,14.16,14.80400866,291.97773422708593
Punjab,539.6001241,40.44689967,199.1311981,22.34,72.66,83.09,26.74575926,334.14462232880965
Punjab,640.9055191,19.4756809,146.2834348,16.69,65.89,62.68,18.14895117,318.56453776904715
Punjab,798.4311717,20.07644648,131.1465749,24.37,66.8,23.08,29.00037829,343.7987003952086
Punjab,840.1801159,28.91747229,259.8788276,27.32751146,36.27,52.77,16.18666525,350.27904377952774
Punjab,1141.823967,26.7309055,255.6865011,29.75,60.75,19.98,35.92534155,408.55469876843426
Punjab,866.4447997,27.11518724,268.5525043,18.08,67.19,22.35,20.23926132,332.176419645309
Punjab,899.9348864,42.17925127,185.8437439,20.39,70.93,23.32,23.84341179,358.81222789284374
Punjab,891.7287116,20.83192005,239.8792664,26.07,49.61,10.19,29.65147384,398.97141035256357
Punjab,1020.318539,24.54199534,175.5466052,15.85,50.11,9.26,15.39144109,332.3139213378548
Punjab,909.8895734,27.89245744,127.891555,23.14,51.39,15.23,25.72884899,351.92058773567027
Punjab,620.8867324,20.70303715,246.3084079,28.54,68.05,5.42,34.95462085,328.28315673608586
Punjab,436.9416769,2.413907941,268.4599709,13.96,75.51,19.42,15.30082158,285.4746199056413
Punjab,837.495023,19.8225234,115.8593618,22.92,53.89,9.43,25.67880984,372.25319891539493
Punjab,701.0971427,30.813098,121.0668662,23.3,73.62,36.08,28.18194347,345.81314419696537
Punjab,637.4780147,37.41937251,189.5877338,25.91,61.85,35.05,30.65521971,334.81272873634083
Punjab,511.400542,10.91484459,231.5969072,15.82,58.14,57.15,16.15357133,299.3589335258813
Punjab,827.695565,13.731951,106.173588,15.4,56.83,14.89,25.59104499,317.60497671893734
Punjab,1049.565162,28.3154154,193.771169,24.61,71.2,9.66,29.76991705,366.0488033450815
Punjab,706.4739699,4.182655309,134.1920247,23.48,89.36456475,15.04,27.56836673,339.220419311349
Punjab,919.0761405,21.73054062,219.825149,23.25,94.14,45.12,30.16373814,356.93912650003034
Punjab,753.9112607,7.4354673,123.4497897,23.73,47.22,56.9,26.15166304,351.9941585429658
Punjab,528.410245,36.11123582,233.1553065,18.6,67.77,19.68,21.01715255,289.057830353656
Punjab,904.713197,18.77962269,166.6633442,23.16,52.06,20.92,25.83619849,332.05687552099687
Punjab,583.3723583,39.34061591,132.0341709,23.47,46.96,15.65,25.74606952,368.53448831719777
Punjab,836.0008275,36.18325326,189.3876068,18.43,59.84,17.12,19.98369929,338.9738388980384
Punjab,698.7856839,17.85695917,76.76841351,31.33,62.06,13.62,38.26602872,376.76820340888924
Punjab,959.939847,16.06615487,141.0902018,24.37,100.0,8.41,32.69726033,352.28501223049926
Punjab,603.4463874,20.94369802,199.2722713,16.04,57.24,24.48,16.38378128,263.92474773202605
Punjab,914.5327216,24.73173982,79.47676688,25.28,43.05,57.43,27.90473191,344.98461897262297
Punjab,587.2443056,26.78040519,81.73073472,17.13,64.1,30.23,18.58951608,282.085627474656
Punjab,692.7164579,16.20778958,76.11728355,25.94,28.88,13.56,27.39803994,357.2973529111621
Punjab,308.4939247,25.18959954,263.3619744,27.79,58.62,34.08,32.97206483,372.8308279076663
Punjab,1215.358308,31.83419714,176.7166403,17.9,60.24,56.05,19.28403792,299.94734175237187
Punjab,835.806238,22.70111387,146.3480242,26.82,71.92,12.04,32.93190057,361.89936583699324
Punjab,661.5627003,16.34530503,233.1497967,24.06,74.6,37.26,29.35043337,337.9699092836001
