Market Year,Area Harvested (1000 HA)
1960,4878
1961,4639
1962,4923
1963,5022
1964,5019
1965,5318
1966,5155
1967,5344
1968,5983
1969,6160
1970,6229
1971,5978
1972,5799
1973,5973
1974,6113
1975,5813
1976,6111
1977,6390
1978,6360
1979,6687
1980,6924
1981,6982
1982,7223
1983,7398
1984,7326
1985,7403
1986,7363
1987,7706
1988,7308
1989,7730
1990,7845
1991,7911
1992,7878
1993,8300
1994,8034
1995,8170
1996,8377
1997,8109
1998,8355
1999,8230
2000,8463
2001,8181
2002,8058
2003,8034
2004,8216
2005,8358
2006,8448
2007,8578
2008,8550
2009,9046
2010,9132
2011,8901
2012,8650
2013,8660
2014,9199
2015,9204
2016,9224
2017,8972
2018,8797
2019,8678
2020,8805
2021,9168
2022,8977
2023,9033
2024,9734
